Compound ID,Compound Name,CAS,Index     #,Alternate Name(s),Formula ,SMILES (pubchem),Molar Volume (25C),A,B,C,Vapor Presure mmHg (25C),Surface Area [Jmol] (A^2/molecule),Volume [Jmol] (A^3/molecule),q [Jmol],r [Jmol],Classification,"-OH, N, X groups take precedence over aromatic/aliphatic constituents"
101,1-iodopropane,107-08-4,462,,C3H7I,CCCI,97.753,7.32543,1566.19000,249.929,42.53268994,112.0364668072980,81.4169138323874,2.699023532,3.232064043,8,
102,1-nonanol,143-08-8,1712,pelargonic alcohol,C9H20O,CCCCCCCCCO,175.069,7.04565,1520.83000,152.060,0.02859576744,208.2355293419590,157.1406938842900,5.0165148,6.238123782,2,
103,1-pentyne,627-19-0,782,,C5H8,CCCC#C,99.009,6.95496,1035.94000,214.091,418.9215967,110.1163492829910,78.5052171867810,2.652766786,3.116476389,6,
104,"2,4-dimethylpentane",108-08-7,1371,,C7H16,CC(C)CC(C)C,150.006,7.02311,1303.23000,234.125,98.573739,152.6533453194030,117.8305883153040,3.677507717,4.677603089,6,
105,"2,4-dimethylpyridine",108-47-4,1278,,C7H9N,CC1=CC(=NC=C1)C,115.534,7.3167,1714.44000,228.093,3.489372566,136.8745425498720,105.5984195169280,3.297387197,4.192014149,8,
106,2-bromopropane,75-26-3,452,isopropyl bromide,C3H7Br,CC(C)Br,95.938,7.27146,1339.77000,245.732,210.2642072,104.4245511709570,74.5163232702378,2.515648065,2.958126484,8,
107,2-chlorobutane,78-86-4,663,sec. butyl chloride,C4H9Cl,CCC(C)Cl,106.645,7.25318,1378.58000,247.194,154.3417772,119.2835079435360,86.1373632707211,2.87360896,3.419455018,8,
108,2-hexanone,591-78-6,1097,methyl butyl ketone,C6H12O,CCCCC(=O)C,124.115,6.86922,1222.20000,178.888,7.494668863,144.9837411467720,105.8628805842100,3.492742499,4.202512644,3,
109,2-octanone,111-13-7,1529,methyl hexyl ketone,C8H16O,CCCCCCC(=O)C,157.318,7.08024,1475.80000,178.430,0.6693543863,183.7392186879190,136.5206266505810,4.426384454,5.419554583,3,
110,2-pentanone,107-87-9,843,methyl propyl ketone,C5H10O,CCCC(=O)C,107.399,7.3543,1548.10000,243.751,39.25991372,125.8938641618800,90.5791241507243,3.032856279,3.5957827,3,
111,2-propen-1-ol,107-18-6,441,allyl alcohol,C3H6O,C=CCO,68.734,7.78554,1554.45000,219.849,27.34848718,87.9423273692217,60.1299393240697,2.118581724,2.387020161,2,
112,4-methylpyridine,108-89-4,1001,4-picoline,C6H7N,CC1=CC=NC=C1,98.03,7.24381,1612.96000,224.341,5.955496869,117.7469892984190,90.4106815515863,2.836593334,3.589095916,8,
113,5-nonanone,502-56-7,1691,,C9H18O,CCCCC(=O)CCCC,173.94,8.71387,3404.66000,395.234,4.093082869,202.4590611923220,151.9376445434560,4.877356328,6.031574701,3,
114,acetic acid,64-19-7,290,ethanoic acid,C2H4O2,CC(=O)O,57.577,7.27642,1326.65000,183.913,8.436628749,77.8757014845913,52.4159866796659,1.876070862,2.080794,Carboxylic Acid,
115,anisole,100-66-3,1268,methoxybenzene,C7H8O,COC1=CC=CC=C1,109.232,7.32615,1674.45000,223.096,3.775270532,132.4356318274780,103.1140466774760,3.190451261,4.093390266,3,
116,benzaldehyde,100-52-7,1240,"benzenecarbonal, benzenecarboxaldehyde",C7H6O,C1=CC=C(C=C1)C=O,102.042,7.25411,1734.80000,217.931,1.297142305,125.9089547773670,98.2735566808432,3.033219821,3.901233957,3,
117,bromoethane,74-96-4,294,ethyl bromide,C2H5Br,CCBr,75.149,7.31438,1260.42000,245.939,459.5540005,85.4845014939146,59.1726119061052,2.059371272,2.349016467,8,
118,bromooctane,111-83-1,---,,C8H17Br,CCCCCCCCBr,174.428,7.41204,1880.25000,214.153,0.3547466166,198.2430169581250,151.3475656015380,4.775789375,6.008149926,8,
119,butanoic acid,107-92-6,637,,C4H8O2,CCCC(=O)O,92.452,7.68706,1778.18000,206.702,1.029516629,116.1969323511800,83.0507139184180,2.799251562,3.296922145,Carboxylic Acid,
120,butanone,78-93-3,626,"methyl ethyl ketone, 2-butanone",C4H8O,CCC(=O)C,90.246,7.20103,1325.15000,227.093,87.99098648,106.8440669010920,75.2238500166953,2.573935603,2.986213667,3,
121,butyl ethanoate,123-86-4,1104,"butyl acetate, acetic acid butyl ester",C6H12O2,CCCCOC(=O)C,132.603,7.2341,1515.76000,222.077,12.5699137,156.2435650373280,114.7531982903890,3.763998194,4.55543779,3,
122,butylbenzene,104-51-8,1763,,C10H14,CCCCC1=CC=CC=C1,156.435,7.18472,1720.37000,216.413,1.144109201,179.8884067053290,140.1706558660740,4.333616158,5.56445234,7,
123,chlorotoluene (alpha?),106-43-4,,,C7H7Cl,CC1=CC=C(C=C1)Cl,119.083,7.13594,1605.85000,214.891,2.76603776,138.6540811751490,108.6902559568030,3.340257316,4.314752937,8,
124,dibromomethane,74-95-3,169,methylene bromide,CH2Br2,C(Br)Br,70.038,7.23867,1423.39000,229.675,44.62982037,88.2485044548413,62.5016001451003,2.125957708,2.481169636,8,
125,diiodomethane,75-11-6,176,methylene iodide,CH2I2,C(I)I,81.015,6.92268,1563.71000,204.877,1.319177018,102.2569823533350,76.3120177286218,2.463430074,3.02941142,8,
126,dimethyldisulfide,624-92-0,---,,C2H6S2,CSSC,89.122,7.25695,1502.73000,233.641,27.98016598,108.6577570253000,78.0154075776875,2.617628452,3.097032076,8,
127,dimethylacetamide,127-19-5,675,"n,n-dimethyl acetic acid amide",C4H9NO,CC(=O)N(C)C,92.98,6.73315,1186.85000,141.984,0.4222627852,118.6730875707580,86.4875816299051,2.858903579,3.433357881,8,
128,dipropylamine,142-84-7,1192,,C6H15N,CCCNCCC,137.303,7.36576,1469.89000,218.887,21.81873137,156.3710258381170,113.3462233915540,3.767068799,4.499584126,8,
129,"E-1,2-dichloroethene",156-60-5,245,"trans-1,2-dichloroethylene",C2H2Cl2,C(=CCl)Cl,77.928,7.21356,1244.35000,239.497,322.8269461,92.1303343923283,65.4835655616595,2.219473245,2.599546798,8,
130,E-2-pentene,646-04-8,827,"trans-2-pentene, trans-beta-amylene",C5H10,CCC=CC,109.074,7.05181,1161.52000,242.135,505.5292476,115.9875919145960,82.2686988010173,2.79420843,3.265877945,6,
131,ethyl methanoate,109-94-4,446,"ethyl formate, formic acid ethyl ester",C3H6O2,CCOC=O,80.785,7.21764,1252.80000,234.565,246.0952858,98.4259190631922,68.8231774437032,2.371137535,2.732121701,3,
132,ethylphenyl ether,103-73-1,1439,ethoxybenzene,C8H10O,CCOC1=CC=CC=C1,127.125,7.30227,1706.40000,215.935,1.659059194,151.5286237474570,118.3493800744020,3.650412521,4.698197928,3,
133,ethylene glycol,107-21-1,321,"1,2-ethanediol",C2H6O2,C(CO)O,55.918,9.69941,3147.10000,264.246,0.06592529836,85.4476664176327,57.4824490232592,2.058483893,2.281920891,2,(diol)
134,fluorobenzene,462-06-6,977,,C6H5F,C1=CC=C(C=C1)F,94.312,7.13144,1351.52000,233.227,78.99422805,109.5002421659350,84.3953912140380,2.637924408,3.350302738,8,
135,formamide,75-12-7,188,formic acid amide,CH3NO,C(=O)N,39.895,7.63804,2012.70000,203.234,0.06598710418,62.5980543525032,39.5898835266513,1.508023473,1.571627233,8,
